AccusedRef,FirstName,LastName,Alias,DesTitle,Sex,Res_settlement,Res_parish,Res_presbytery,Res_county,MaritalStatus,Occupation,Notes
A/EGD/1557,Jonet Nein Ean,Cheill,,,Female,Buntoit,P/ST/992,Inverness,Inverness,,,The parish is recorded as Conveth in RPC but is probably Kiltarlity and Glen Convinth parish.
A/EGD/1558,Muriall Duy Nein,Giliphadrick,,,Female,Buntoit,P/ST/992,Inverness,Inverness,,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1559,Mary Nein,Gowin,,,Female,Buntoit,P/ST/992,Inverness,Inverness,Married,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/156,Michaell,Erskine,,,Male,Newbattle Milne,P/ST/1274,Dalkeith,Edinburgh,,Miller,"He was living at the Mill, therefore assume he was the miller. Also recorded as Areskine."
A/EGD/1560,Cristian Nein,Phaill,,,Female,Buntoit,P/ST/992,Inverness,Inverness,Married,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1561,Cristian Nein Ferquhar Vic,Ewin,,,Female,Buntoit,P/ST/992,Inverness,Inverness,Married,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1562,Mary Nein Allaster Vic,Conchy,,,Female,Buntoit,P/ST/992,Inverness,Inverness,,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1563,Cormule Nean Ean Duy Vic Conchie Vic,Goune,,,Female,Buntoit,P/ST/992,Inverness,Inverness,Married,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1564,Jonet Nein Rory,Buy,,,Female,Buntoit,P/ST/992,Inverness,Inverness,,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1565,Kathrin Nein Ean Vic Connell,Eir,,,Female,Buntoit,P/ST/992,Inverness,Inverness,,,Parish recorded as Conveth in RPC but probably Kiltarlity and Convinth parish.
A/EGD/1566,Ninian Dowie Vic,Finley,,,Male,,,Inverness,Inverness,,,
A/EGD/1567,Cristian Neil Ferquhar Vic Ean Baik,McNish,,,Female,,,Inverness,Inverness,,,
A/EGD/1568,Bessie,Knox,,,Female,West Fentoun,,Haddington,Haddington,,,
A/EGD/1569,Euphame,Bartleman,,,Female,Woodfoot of Newhall,P/ST/415,Duns,Berwick,,,
A/EGD/1570,Marion,Ingrahame,,,Female,Newton,,Haddington,Haddington,,,Recorded as an indweller in APS
A/EGD/1571,Jonet,Hog,,,Female,,P/ST/1187,,,Married,,"This could be West Linton (Peebles) or Linton in Teviotdale (Kelso), but Prestonhaugh (Prestonkirk) is in Dunbar presbytery. I cannot make a definite decision about the parish/presbytery or county."
A/EGD/1572,Marion,Craig,,,Female,,P/ST/391,Edinburgh,Edinburgh,,,recorded as an indweller in APS
A/EGD/1573,Margaret,Handesyd,,,Female,,P/ST/391,Edinburgh,Edinburgh,,,Recorded as an indweller in APS.
A/EGD/1574,Christine,Thomson,,,Female,,P/ST/391,Edinburgh,Edinburgh,,,Recorded as an indweller in APS.
A/EGD/1575,Margaret,Hill,,,Female,,P/ST/391,Edinburgh,Edinburgh,,,Recorded as an indweller in APS.
A/EGD/1576,Susanna,Baillie,,,Female,,P/ST/391,Edinburgh,Edinburgh,,,Recorded as an indweller.
A/EGD/1577,Johne,Ramsay,,,Male,Niddry,P/ST/391,Edinburgh,Edinburgh,,,Recorded as an indweller.
A/EGD/1578,Katharine,Purdie,,,Female,Niddry,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1579,Agnes,Hill,,,Female,Niddry,P/ST/391,Edinburgh,Edinburgh,Married,,
A/EGD/158,Jon,Neill,,,Male,Tweedmouth,,,Berwick,Married,Farmer,"He seems to have been a professional healer.  Length of reputation, 16 years plus 25 = 41.  He is described as a Skynner (Skinner) or glover by his vocation and calling, but lately as a husbandman.  I will put his status at middling and his occupation as farmer."
A/EGD/1580,Jonnet,Cleghorne,,,Female,Niddry,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1581,Grissel,Young,,,Female,Niddry,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1582,Jonnet,Young,,,Female,Niddry,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1583,Sarah,Ramage,,,Female,Niddry,P/ST/391,Edinburgh,Edinburgh,,,
A/EGD/1624,Elspet,Douglas,,,Female,,,Haddington,Haddington,,,
A/EGD/1625,John,Forrester,,,Male,,,Haddington,Haddington,,,
A/EGD/1627,Janet,Small,,,Female,,P/ST/693,Linlithgow,Linlithgow,,,
A/EGD/1628,Margaret,Blair,,,Female,,P/ST/693,Linlithgow,Linlithgow,,,
A/EGD/1629,Catherine,Allan,,,Female,,P/ST/693,Linlithgow,Linlithgow,,,
A/EGD/1630,Katherine,Hendersoun,,,Female,,,Chirnside,Berwick,,,
A/EGD/1631,Marioun,Robertsoun,,,Female,,,Chirnside,Berwick,,,
A/EGD/1632,Janet,Gray,,,Female,,,Chirnside,Berwick,,,
A/EGD/1633,Margaret,Lyis,,,Female,,P/ST/918,Selkirk,Selkirk,,,
A/EGD/1634,Jonet,Speid,,,Female,,P/ST/1299,Dalkeith,Edinburgh,,,
A/EGD/1635,Marioun,Lyis,,,Female,,P/ST/918,Selkirk,Selkirk,,,
A/EGD/1636,Thomas,Wilson,,,Male,,P/ST/918,Selkirk,Selkirk,,,
A/EGD/1637,Agnes,Forsyth,,,Female,,P/ST/546,Dalkeith,Edinburgh,,,few details
A/EGD/1638,Margaret,Adinstoun,,,Female,,P/ST/546,Dalkeith,Edinburgh,,,
A/EGD/1639,Margaret,Dick,,,Female,,P/ST/546,Dalkeith,Edinburgh,,,
A/EGD/164,Margaret,Kinard,,,Female,,P/ST/914,Auchterarder,Perth,,,She seems to have fled and was recorded as fugitive in 1649.
A/EGD/1640,Janet,Gibb,,,Female,,P/ST/546,Dalkeith,Edinburgh,,,
A/EGD/1642,Christian,Syme,,,Female,,P/JO/3542,Linlithgow,Linlithgow,,,
A/EGD/1643,Agnes,Johnston,,,Female,,P/ST/1333,Haddington,Haddington,,,
A/EGD/1644,Janet,Cockburn,,,Female,,P/ST/1333,Haddington,Haddington,,,
A/EGD/1645,Marjorie,Hoy (Hoip),,,Female,,P/ST/1333,Haddington,Haddington,,,
A/EGD/1646,Margaret,Temple,,,Female,,P/ST/1333,Haddington,Haddington,,,
A/EGD/1648,Kathrin Nyn Owan Vic,Omnoch,,,Female,,,Inverness,Inverness,,,
A/EGD/1649,Mary McFinley Vic,Comes,,,Female,,,Inverness,Inverness,,,
A/EGD/165,Neane,Vcclerick,,,Female,,,,Kinross,Widowed,,Described as a widow woman.  Sister daughter to Nik Neveing the witch of Monaie.
A/EGD/1650,Jonet Ninian Rory,Mie,,,Female,,,Inverness,Inverness,,,
A/EGD/1651,Kathrin Ninian Ear Vic Ean,Culleam,,,Female,,,Inverness,Inverness,,,
A/EGD/1652,Ninian,Coell,,,Male,,,Inverness,Inverness,,,"Larner had this person as female but Ninian is a male name. However, it could be that the name was the Gaelic 'nean' and this was a mistranscription by the PC clerk and the person was female."
A/EGD/1653,Mary Nein Goune,Baike,,,Female,,,Inverness,Inverness,,,
A/EGD/1654,Gormyle,Grant,,,,,,Inverness,Inverness,,,
A/EGD/1655,Kathrin Nein Ferquhar,McEan,,,Female,,,Inverness,Inverness,,,
A/EGD/1656,Mary,Dollour,,,Female,,,Inverness,Inverness,,,
A/EGD/1657,Margret,McClean,,,Female,,,Inverness,Inverness,,,
A/EGD/1658,Jonet,McClean,,,Female,,,Inverness,Inverness,Married,,
A/EGD/1659,Donald,McClean,,,Male,,,Inverness,Inverness,,,
A/EGD/166,Unknown,NikNeveing,,,Female,Monaie,P/ST/676,Auchterarder,Perth,,,
A/EGD/1660,Hectour,McClean,,,Male,,,Inverness,Inverness,,,
A/EGD/1663,Christian,Grieve,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,Married,,
A/EGD/1664,Janet,Brugh,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,Married,,
A/EGD/1665,Marjorie,Richie,,,Female,,P/ST/955,Forfar,Forfar,,,Inverarity and Meathie parishes united.
A/EGD/1666,Cristian,Small,,,Female,,P/ST/1152,Greenock,Ayr,,,Recorded as an indweller in RPC.
A/EGD/1667,Elspeth,Jonstoun,,,Female,,P/ST/1221,Perth,Perth,,,
A/EGD/1668,Marjory,Scott,,,Female,,P/ST/1152,Greenock,Ayr,,,Recorded as an indweller in RPC.
A/EGD/1669,Agnes,Clerk,,,Female,,P/ST/1152,Greenock,Ayr,,,Recorded as an indweller in RPC
A/EGD/167,John,McIlvorie,,,Male,,P/ST/676,Auchterarder,Kinross,Married,,
A/EGD/1670,Jonet,Muir,,,Female,,P/ST/971,Greenock,Renfrew,,,
A/EGD/1671,Jonet,Holm,,,Female,,P/ST/971,Greenock,Renfrew,,,
A/EGD/1672,Agnes,Gibson,,,Female,,P/ST/971,Greenock,Renfrew,,,
A/EGD/1673,Jonet,Alexander,,,Female,,P/ST/971,Greenock,Renfrew,,,
A/EGD/1674,Vylet,Gray,,,Female,,P/ST/971,Greenock,Renfrew,,,
A/EGD/1675,James,Bog,,,Male,,P/ST/971,Greenock,Renfrew,,,
A/EGD/1676,Margret,Simson,,,Female,,,,Cromarty,,,
A/EGD/1677,Bessie,Watson,,,Female,,,,Cromarty,,,
A/EGD/1678,Elspeth,Bruce,,,Female,,P/ST/601,Forfar,Forfar,,,Also recorded as Elizabeth.
A/EGD/1679,Grissell,Murray,,,Female,,P/ST/564,Selkirk,Roxburgh,,,
A/EGD/168,Johnne,Brughe,,,Male,,P/ST/862,Kinross,Kinross,,Healer,"He was definitely a professional healer, being paid in money and kind.  Reputation for 36 + 25 = 61"
A/EGD/1680,Bessie,Morison,,,Female,,P/ST/564,Selkirk,Roxburgh,,,
A/EGD/1681,Helen,Lauder,,,Female,Dalcove,,,,,,
A/EGD/1682,Margaret,Fyfe,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1683,Elizabeth,Dempster,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1684,Unknown,Brand,,,,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1685,Agnes,Drysdale,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1686,Margaret,Beveridge,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1687,Agnes,Beveridge,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1688,Christian,Young,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1689,Margaret,McNish,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/169,Margaret,Lauder,,,Female,,,Edinburgh,Edinburgh,,,
A/EGD/1690,Margaret,Young,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1691,Christian,Crieff,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1692,Isabel,Condie,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1693,Janet,Hird,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1694,Agnes,Sharp,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1695,Gilleis,Hutton,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1696,Elspet,Alexander,,,Female,,P/ST/845,Forfar,Forfar,,,
A/EGD/1697,Agnes,Allene,,,Female,Crook of Devon,P/ST/862,Kinross,Perth,,,
A/EGD/1698,Helen,Alexander,,,Female,,,Forfar,Forfar,,,
A/EGD/1699,Mary,Rynd,,,Female,,,Forfar,Forfar,,,
A/EGD/17,Janet,Boyman,,,Female,,,,Ayr,Married,,"Larner had her down as from Edinburgh, but Hendry had her from Ayrshire.  The JC26/1 document said she was in the Cowgate, so perhaps she moved to Edinburgh?"
A/EGD/170,Janet,Baker,,,Female,,,,Edinburgh,Unknown,,
A/EGD/1700,Jonet,Patoun,,,Female,,P/ST/825,Paisley,Renfrew,,,Recorded as an indweller.
A/EGD/1701,Margaret,Guthrie,,,Female,,P/ST/622,St Andrews,Fife,,,
A/EGD/1702,Elspeth,Guild,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1703,Issobell,Key,,,Female,,,St Andrews,Fife,,,
A/EGD/1704,Margret,Dobie,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1705,Grissell,Anderson,,,Female,,P/ST/1519,Dunfermline,Fife,,,"This may be the same as Grissel Anderson (C/EGD/2437) (or more likely a relative of), also from Torryburn, who was accused in 1703."
A/EGD/1706,Margret,Horne,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1707,Cristian,May,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1708,Agnes,Broun,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1709,Margret,Cowie,,,Female,,P/ST/1519,Dunfermline,Fife,,,
A/EGD/1710,Hendry,Wilson,,,Male,Fogo Milne,P/ST/852,Duns,Berwick,,Loadman,
A/EGD/1711,Margaret,Abernethy,,,Female,,,Aberdeen,Aberdeen,Widowed,,"She may have been middling at some point, her husband was indweller in Aberdeen.  But witnesses in the trial of Geillis Burnet (c/egd/584) described her as a 'poor woman' who often begged for alms."
A/EGD/1712,Robert,Shevies,,,Male,,,Aberdeen,Aberdeen,,Blacksmith,
A/EGD/1713,Issobell,Spens,,,Female,,,Aberdeen,Aberdeen,Widowed,,Her husband was a bookbinder
A/EGD/1714,Margaret,Dury,,,Female,Fuitte,,Aberdeen,Aberdeen,Married,,Her husband was recorded as white fish seller
A/EGD/1716,Margaret Neill,Vayne,,,Female,Moidart,,,Inverness,,,
A/EGD/1717,More Nain Duy,McIvers,,,,Moidart,,,Inverness,,,
A/EGD/1718,Grissell,Jaffray,,,Female,,P/ST/707,Dundee,Forfar,Married,,Her husband was a maltman
A/EGD/1719,Mareon,Caskie,,,Female,,P/ST/1169,Lanark,Lanark,,,Described as an indweller
A/EGD/172,Agnes,Finnie,,,Female,Potterrow,P/LA/3536,Edinburgh,Edinburgh,Widowed,Shop-keeper,Daughter involved in a two flyting incidents.  She was definitely a shop-keeper and a money-lender.
A/EGD/1720,Marget,Bigland,,,Female,,,Scalloway,Shetland,,,RPC entry is confusing about relationships between this group of women. It may be that MB was the daughter of Sunna Voe and MB's daughter was Molphrie Porteous.
A/EGD/1721,Molphrie,Porteous,,,Female,,,Scalloway,Shetland,,,"The RPC entry is confusing but some of the women in this group were related. It is possible that Molphrie Porteous was the daughter of Marget Bigland, who was herself the daughter of Suna Voe (Vaus).  Age estimated by mother."
A/EGD/1722,Bessie,Unknown,,,Female,Burgon,,Scalloway,Shetland,,,
A/EGD/1723,Suna,Voe,,,Female,Howll,,Scalloway,Shetland,,,The entry in RPC is confusing about the relationships between the women in this group. Some of them were related and Suna Voe (Vaus) seems to have had a daughter Margaret Bigland and granddaughter Molphrie Porteous.
A/EGD/1724,Jonet,Harlaw,,,Female,Innerwick toun,P/ST/961,Dunbar,Haddington,,,
A/EGD/1725,Alesoun,Angus,,,Female,,P/ST/703,Dunbar,Haddington,,,
A/EGD/1726,Margaret,Nicolsoun,,,Female,Birgin,P/ST/801,Duns,Berwick,,,
A/EGD/1727,Marjory,Craig,,,Female,Pollok,P/ST/825,Paisley,Renfrew,,,She was probably married at some point and separated from her husband.  She had a son in Irleand.  She supposedly fled from a witchcraft charge in Ireland. Eastwood parish also known as Pollok.
A/EGD/1728,Bessie,Weir,,,Female,Polloktoun,P/ST/1328,Paisley,Renfrew,Married,,
A/EGD/1729,Margret,Jackson,,,Female,Pollokshaws,P/ST/1328,Paisley,Renfrew,Widowed,,"She was an in-law to 3 other people accused in the same group.  Her husband was a Stewart, but unclear whether he was the son of Jonet Mathie or the brother of her dead husband."
A/EGD/173,Helene,Clerk,,,Female,North Leith,P/ST/33,Edinburgh,Edinburgh,Married,,Married to a fisherman.  She had a daughter of marriage age (estimated at 25) therefore estimate her age at 50.  She also had a son who worked on a ship.
A/EGD/1730,Annabell,Stewart,,,Female,Pollokshaws,P/ST/1328,Paisley,Renfrew,Single,,"Daughter of Jonet Mathie, recorded as underage when accused.  The trial says she was 14 years old."
A/EGD/1731,Jon,Stewart,,,Male,Pollokshaws,P/ST/1328,Paisley,Renfrew,Single,,Father had been an under miller so middling status. Unlike his sister Jon was regarded as being an adult as his punishment was not delayed. The original age estimate of 16 is over ruled because he is described in the trial as having his own house.
A/EGD/1732,Jonet,Mathie,,,Female,Pollokshaws,P/ST/1328,Paisley,Renfrew,Widowed,,Husband was an under miller. Accused had 3 children who were also accused of witchcraft. The daughter was underage.  Her third son was at least 25.  So we add 25 to that to determine an approx. age of 50.
A/EGD/1734,Jonet,Mun,,,Female,Lawmuir,,Dunbarton,Dunbarton,,,
A/EGD/1735,Margaret,Paterson,,,Female,Duntocher,P/ST/1313,Dunbarton,Dunbarton,,,
A/EGD/1736,Issobell,Laing,,,Female,Duntaglennie,,Dunbarton,Dunbarton,,,Name spelt as Layng in RPC.
A/EGD/1737,Christian,Donald,,,Female,Wester Cessnock,,Dunbarton,Dunbarton,,,
A/EGD/1738,Margaret,Wright,,,Female,Balvie,P/ST/1288,Dunbarton,Dunbarton,,,
A/EGD/1739,Mary,Mitchell,,,Female,,,Stirling,Stirling,,,
A/EGD/1740,John,Gray,,,Male,,,Stirling,Stirling,,,
A/EGD/1741,Janet,McNair,,,Female,,,Stirling,Stirling,,,
A/EGD/1742,Thomas,Mitchell,,,Male,,,Stirling,Stirling,,,
A/EGD/1743,Marion,Phin,,,Female,,P/JO/3539,Haddington,Haddington,,,recorded as an indweller in Haddington
A/EGD/1744,Marjorie,Anderson,,,Female,,P/ST/1359,Haddington,Haddington,,Servant,servant of Agnes Kelly (C/EGD/1762)
A/EGD/1745,Agnes,Kelly,,,Female,,P/ST/1359,Haddington,Haddington,Widowed,,"Possibly middling as she had a servant, Marjorie Anderson."
A/EGD/1746,Katharine,Liddell,,,Female,Saltpreston,P/ST/1359,Haddington,Haddington,Widowed,,
A/EGD/1747,Margaret,Whyte,,,Female,,P/ST/1131,Dalkeith,Edinburgh,,,
A/EGD/1748,Bessie,Bell,,,Female,,P/ST/1131,Dalkeith,Edinburgh,,,
A/EGD/1749,Margaret,Liddell,,,Female,,P/ST/1131,Dalkeith,Edinburgh,,,
A/EGD/175,Agnes,Kellok,,,Female,,P/ST/962,Dunfermline,Fife,,,
A/EGD/1750,Margaret,Laing,,,Female,,P/ST/1131,Dalkeith,Edinburgh,,,
A/EGD/1751,Janet,Douglas,,,Female,,P/ST/654,Edinburgh,Edinburgh,,,
A/EGD/1752,Margaret,Dougall,,,Female,,P/ST/494,Ayr,Ayr,,,
A/EGD/1753,Catharin,Mactargett,,,Female,,P/ST/703,Dunbar,Haddington,Married,,Accused of having been a beggar although she and her husband seemed to have adequate income already as he was a weaver
A/EGD/1754,Unknown,McQuicken,,,Female,,,,Inverness,Married,,
A/EGD/1755,Unknown,McRorie,,,Female,,,,Inverness,Married,,
A/EGD/1756,Agnes,Naismith,,,Female,,P/ST/826,Greenock,Renfrew,,,
A/EGD/1757,Margaret,Fulton,,,Female,East Kilpatrick,P/ST/3388,Paisley,Renfrew,,,Described as an indweller of East kilpatrick
A/EGD/1759,Donald,Moir,,,Male,,,,Ross,,,
A/EGD/176,Christine,Thomsone,,,Female,,,Dunfermline,Fife,,,
A/EGD/1760,Margaret,Lang,,,Female,,,,Renfrew,Married,,Her daughter was also accused
A/EGD/1761,Katherine,Campbell,,,Female,Bargarran,P/ST/826,Greenock,Renfrew,Married,,Was a servant in the house of the main possessed girl/accuser.  She was described as 'the taylor's wife' at the end of the trial record.  She probably went through the usual life changes of servant as a teenager to transition to her married life.
A/EGD/1762,John,Reid,,,Male,,P/ST/970,Paisley,Renfrew,,Smith,
A/EGD/1763,James,Lindsay,the curate,,Male,Formakure,P/ST/826,Greenock,Renfrew,,,"He was possibly from Bargarran originally, but in the JC10/4 he was from Formakure."
A/EGD/1764,John,Lindsay,The Bishop,,Male,Formakune,P/ST/826,Greenock,Renfrew,,,
A/EGD/1765,Agnes,Chisolm,,,Female,,,,Ross,,,
A/EGD/1766,Agnes,Urich,,,Female,,,,Ross,,,
A/EGD/1767,Mary,Millar,,,Female,,,,Kirkcudbright,,,
A/EGD/1768,Elspeth,McEwen,,,Female,,P/ST/700,Kirkcudbright,Kirkcudbright,,,
A/EGD/1769,Erick,Shayme,,,Male,,,,Ross,,,
A/EGD/177,Rossina,Oswald,,,Female,,P/ST/962,Dunfermline,Fife,,,Larner had her as Osit.
A/EGD/1770,Mary,Glass,,,Female,Newton,,Caithness,Ross,,,"Possibly Newton in Wick parish, Caithness parish."
A/EGD/1771,Mary,Keill,,,Female,Fernintosh,,,Ross,,,"Settlement also called Fermtoish. There was a hamlet, Newton of Ferintosh in Ferintosh district in Nairnshire."
A/EGD/1772,Barbara,Rassa,,,Female,Milutoun,,,Ross,,,So many Milton/Miltowns that is is difficult to locate this specific one.
A/EGD/1773,Christian,Gilash (Gaylock),Gaylock,,,Gilvovie,,,Ross,,,
A/EGD/1774,Barbara,Monro,,,Female,Spital,P/ST/2904,Dingwall,Ross,Married,,Husband also accused.
A/EGD/1775,Margaret,Munro,,,Female,Milutoun,,,Ross,,,There are so many Milton/Miltowns that it is difficult to locate this specific one.
A/EGD/1776,Agnes,Wrath,,,Female,Kilraine,P/ST/2904,Dingwall,Ross,,,
A/EGD/1777,Agnes,Desk,,,Female,Kilraine,P/ST/2904,Dingwall,Ross,,,
A/EGD/1778,Donald,McKulkie,,,Male,Drumnameck,,,Ross,,,
A/EGD/1779,Lachlan,Rattray,,,Male,,P/ST/965,Inverness,Inverness,,,
A/EGD/178,Margaret,Aytoune,,,Female,,,Dunfermline,Fife,,,
A/EGD/1780,George,Rattray,,,Male,,P/ST/965,Inverness,Inverness,,,
A/EGD/1781,Elizabeth,Crafford,Elspeth,,Female,Sammuelston,P/JO/3539,Haddington,Haddington,Widowed,,She was recorded as Elspeth Crawfurd and Elizabeth Crafford.
A/EGD/1783,Janet,Walker,,,Female,,P/ST/1083,Forfar,Forfar,,,
A/EGD/1784,Issobel,Bairdie,,,Female,,P/ST/525,Kirkcaldy,Fife,,,
A/EGD/1785,Margaret,Hendirsoun,,Lady Pittadrow,Female,,P/ST/962,Dunfermline,Fife,,,
A/EGD/1786,Agnes,Gourlay,,,Female,,P/ST/935,Haddington,Haddington,,,
A/EGD/1787,Janet,Castell,,,Female,,P/ST/840,Deer,Aberdeen,,,
A/EGD/1789,Katherin,Gibb,Kett,,Female,Gogar,P/ST/658,Edinburgh,Edinburgh,,,Gogar became part of Corstorphine parish in 1599. Age calculated as 45 (25+20=45)
A/EGD/179,Issobell,Guthrie,,,Female,,P/ST/962,Dunfermline,Fife,,,
A/EGD/1790,Robert,Bruce,,,Male,,,,Forfar,,,
A/EGD/1791,Jonet,Coutts,,,Female,Netherude,P/ST/1096,Peebles,Peebles,,,Confessed to having made pact with devil 26 years before. She was still alive on 4/1/1650 as she was again questioned by the presbytery but referred to as being dead by 18/4/1650
A/EGD/1792,Marion,Hunter,,,Female,,P/ST/651,Lanark,Lanark,,,Parish also known as Craufurddouglas
A/EGD/1793,Lillias,Moffat,,,Female,,P/ST/651,Lanark,Lanark,,,Parish recorded as Craufurddouglas.
A/EGD/1794,Mali,Laidlaw,,,Female,,P/ST/651,Lanark,Lanark,,,Parish also known as Craufurddouglas.
A/EGD/1795,Marion,Moffat,,,Female,,P/ST/651,Lanark,Lanark,,,Parish also known as Craufurddouglas.
A/EGD/1796,Helen,Acheson,,,Female,,P/ST/651,Lanark,Lanark,,,Parish also known as Craufurddouglas
A/EGD/1797,Margret,Fraser,,,Female,,,Turriff,Aberdeen,,,
A/EGD/1799,Margaret,Ogg,,,Female,,P/ST/964,Garioch,Aberdeen,,,
A/EGD/18,Bessie,Dunlop,,,Female,Lyne,P/ST/1198,Ayr,Ayr,Married,,Pitcairn says that she and her husband were tenents or cottars on an estate but I can't estimate socioeconomic status because this description could mean anything from middling to very poor.
A/EGD/180,Hellen,Douglas,,,Female,,P/ST/962,Dunfermline,Fife,,,
A/EGD/1800,Archibald,Watt,,,Male,,P/ST/716,Lanark,Lanark,,,
A/EGD/1801,Agneis,Kirkland,,,Female,,P/ST/1541,Dunbar,Haddington,,,
A/EGD/1802,David,Steward,,,Male,,P/ST/1541,Dunbar,Haddington,,,
A/EGD/1803,Jonet,Robison,,,Female,Monkcastle,,Irvine,Ayr,,,
A/EGD/1804,Margaret,Cooper,,,Female,Saltcoats,P/ST/470,Irvine,Ayr,,,
A/EGD/1805,Catherine,Montgomerie,,,Female,Saltcoats,P/ST/470,Irvine,Ayr,,,
A/EGD/1807,Margaret,Turnbull,,,Female,,P/ST/1157,Selkirk,Selkirk,,,
A/EGD/1808,Mary,Chisholm,,,Female,,P/ST/1009,Kelso,Roxburgh,,,She may have been Margaret.
A/EGD/1809,Marion,Cunnyngham,,,Female,,P/ST/714,Dunfermline,Fife,,,
A/EGD/181,Margaret,Blaikburne,,,Female,,P/ST/962,Dunfermline,Fife,,,
A/EGD/1810,Janet,Smelie,,,Female,,P/ST/494,Ayr,Ayr,,,possibly the same person as c/egd/1176 Jonet Smaillie.
A/EGD/1811,Jonet,Hewison,,,Female,,P/ST/1591,Paisley,Renfrew,,,
A/EGD/1812,William,Grant,,,Male,Bellie,P/ST/1370,Fordyce,Banff,,,"The accused was recorded as being fugitive in the presbytery of Fordyce, but there is also a reference in Strathbogie PR, which is still to be checked. He may have been from Rathven parish originally."
A/EGD/1813,Janet,Galloway,,,Female,,P/ST/1083,Forfar,Forfar,,,
A/EGD/1814,Unknown,Finlayson,,,Female,,,Fordoun,Forfar,,,"The reference mentions the presbytery of Fordoun, although the minister involved was from Forfar presbytery at the time, and moved to Fordoun later. It is difficult to know which presbytery to use"
A/EGD/1819,Thomas,Humbell,,,Male,,P/ST/504,Brechin,Forfar,,,
A/EGD/182,Issobel,Mitchell,,,Female,,P/ST/962,Dunfermline,Fife,,,
A/EGD/1820,Issobel,Fordell,,,Female,,P/ST/504,Brechin,Forfar,,,
A/EGD/1821,Margaret,Merchant,Marat,,Female,Balfield of Cluthie,P/ST/1218,Banff,Forfar,Married,,
A/EGD/1822,Marjorie,Paterson,,,Female,,P/ST/1274,Dalkeith,Edinburgh,,,few details
A/EGD/1823,Agnes,Gaston,,,Female,,P/ST/1232,Selkirk,Roxburgh,,,
A/EGD/1824,Jonet,Birnie,,,Female,,P/ST/651,Lanark,Lanark,,,
A/EGD/1825,Finwell,Hyndman,,,Female,,P/ST/1064,Dunoon,Bute,,,
A/EGD/1826,Catharin,Walker,,,Female,,P/ST/504,Brechin,Forfar,Married,,"The accused may have been from Brechin presbytery as details recorded in presbytery book, but the minister and other indwellers from Lawrencekirk in Fordoun presbytery also involved."
A/EGD/1827,Catharin,Skair,,,Female,,,Brechin,Forfar,Married,,"Witness claimed that she harmed him 16 years before, 16+25=41."
A/EGD/1828,Janet,Anderson,,,Female,,P/ST/425,Dunfermline,Fife,,,
A/EGD/1829,Maggy,Osborne,,,Female,,,,Ayr,,,
A/EGD/1830,Thomas,Shanks,Willie',,Male,,P/ST/1332,Peebles,Peebles,,Weaver,First appeared in front of the presbytery on 23/3/1643 on charges of charming and witchcraft.
A/EGD/1831,Marioun,Robiesone,,,Female,,P/ST/1096,Peebles,Peebles,Married,,
A/EGD/1832,Marioun,Twedy,,,Female,,P/ST/1096,Peebles,Peebles,,,
A/EGD/1833,Bessie,Forrest,,,Female,Skirling,P/ST/1332,Biggar,Peebles,,,Named as witch by Janet Coutts
